공구번호,보유,위치,공유
159 589 00 61 00 ,1,04월 03일,공유
163 589 00 63 00,1,04월 03일,공유
163 589 01 43 00,1,04월 03일,
163 589 01 91 00,1,04월 03일,
163 589 02 91 00,1,04월 03일,
163 589 03 43 00,1,04월 03일, -
164 589 00 37 00,-,-,공유
164 589 01 07 00,1,04월 03일, -
164 589 02 07 00,1,04월 03일,공유
164 589 03 63 00,1,긴급출동, -
164 589 04 43 00,1,04월 04일, -
164 589 10 23 00,1,04월 04일, -
166 589 00 03 00,1,04월 04일, -
166 589 00 40 00,-,-,공유
166 589 00 43 00,1,04월 05일, -
166 589 00 63 00,1,04월 05일, -
166 589 00 91 00,1,04월 05일, -
166 589 01 14 00,1,04월 05일, -
166 589 04 63 00,1,04월 08일,공유
167 589 00 09 00,1,04월 05일,-
167 589 00 40 00,1,04월 05일,-
167 589 00 63 00,1,04월 05일,-
167 589 01 62 00,1,04월 05일,-
167 589 01 63 00,-,,공유
167 589 06 43 00,1,04월 06일,-
168 589 00 62 00,1,04월 06일, -
168 589 01 21 00,2,벽, -
168 589 02 31 00,1,04월 06일,-
168 589 03 21 00,-,-,공유
168 589 08 63 00,1,04월 06일, -
169 589 00 03 00,1,04월 06일,
169 589 00 31 00,1,04월 06일,
169 589 00 37 00,1,04월 06일, -
169 589 00 40 00,1,04월 06일,
169 589 00 62 00,1,04월 06일,
169 589 00 91 00,1,04월 06일,
169 589 01 27 00,1,04월 07일,
169 589 02 31 00,1,04월 07일, -
169 589 02 62 00,1,06월 01일,
169 589 02 63 00,1,04월 07일, -
170 589 04 63 00,1,06월 15일,-
171 589 00 34 00,2,04월 07일, -
171 589 00 37 00,1,04월 07일,-
171 589 00 39 00,1,04월 07일, -
172 589 00 63 00,1,04월 07일, -
172 589 00 91 00,1,05월 02일,공유
172 589 01 63 00,1,05월 01일,공유
172 589 02 23 00,1,06월 08일,공유
172 589 03 23 00,-,-,공유
176 589 00 15 00,-,-.,공유
176 589 00 40 00,1,05월 02일, -
176 589 00 43 00,-,-,공유
176 589 01 15 00,-,-,공유
177 589 00 03 00,1,05월 02일,-
177 589 00 10 00,-,-,공유
177 589 00 15 00,-,-,공유
177 589 00 21 00,-,-,공유
177 589 00 23 00,1,05월 02일,-
177 589 00 31 00,1,05월 03일,-
177 589 00 32 00,"주문
불가",-,-
177 589 00 37 00,1,05월 03일,-
177 589 00 40 00,1,05월 03일,-
177 589 00 43 00,-,-,공유
177 589 00 61 00,-,-,공유
177 589 00 62 00,-,-,공유
177 589 00 63 00,-,-,공유
177 589 01 09 00,-,-,공유
177 589 01 21 00,-,-,공유
177 589 01 40 00,1,05월 03일,-
177 589 01 40 01,1,05월 03일,-
177 589 01 62 00,-,-,공유
177 589 01 63 00,1,05월 04일,-
177 589 02 15 00,1,05월 04일,-
177 589 02 40 00,-,-,공유
177 589 02 43 00,1,05월 04일,-
177 589 03 15 00,1,05월 04일,-
177 589 03 32 00,1,05월 04일,
177 589 03 40 00,-,-,공유
177 589 03 63 00,1,05월 05일,-
177 589 05 15 00,1,05월 05일,-
177 589 06 15 00,1,05월 05일,-
190 589 00 15 00,-,-,공유
190 589 01 15 00,-,-,공유
197 589 00 63 00,1,05월 05일,공유
197 589 01 31 00,-,-,공유
197 589 02 31 00,-,-,공유
199 589 01 09 00,5,05월 05일, -
201 589 00 01 00,1,05월 05일, -
201 589 01 33 00,1,05월 05일,
201 589 05 63 00,1,05월 05일,
201 589 13 21 00,1,05월 06일, -
201 589 14 33 00,1,05월 06일,
202 589 00 07 00,1,05월 06일,
202 589 00 09 00,1,05월 06일,공유
202 589 00 10 00,1,"5-6
1층",
202 589 00 15 00,1,05월 06일,공유
202 589 00 43 00,1,05월 07일, -
202 589 01 31 00,1,05월 07일,
202 589 01 37 00,-,-,공유
202 589 02 31 00,1,05월 07일, -
202 589 02 33 00,1,05월 07일,
202 589 04 43 00,1,05월 07일,공유
202 589 11 63 00,1,06월 02일, -
202 589 13 63 00,1,06월 02일,-
202 589 14 63 00,1,06월 02일,-
202 589 00 33 00,1,06월 02일,
203 589 00 43 00,1,06월 02일,공유
203 589 01 07 00,1,06월 03일,
203 589 01 09 00,1,06월 03일,공유
203 589 01 14 00,-,-,공유
203 589 01 31 00,1,06월 03일, -
203 589 01 63 00,1,06월 03일, -
203 589 02 31 00,1,06월 04일,
203 589 02 43 00,1,06월 03일,공유
203 589 03 31 00,-,-,공유
203 589 04 31 03,1,06월 04일, -
203 589 04 33 00,2,06월 04일, -
203 589 07 63 00,-,-,공유
204 589 00 16 00,1,06월 04일, -
204 589 00 33 00,1,06월 04일, -
204 589 00 43 00,1,06월 04일,공유
204 589 00 63 00,1,06월 05일, -
204 589 01 43 00 ,1,06월 05일,공유
204 589 01 63 00,-,-,공유
204 589 02 63 00,1,06월 05일, -
204 589 03 63 00,1,06월 05일, -
204 589 04 63 00,1,06월 05일, -
205 589 00 09 00,1,06월 05일, -
205 589 00 15 00,-,-,공유
205 589 00 21 00,1,06월 06일, -
205 589 00 31 00,-,-,공유
205 589 00 43 00,-,-,공유
205 589 00 61 00,-,-,공유
205 589 00 63 00,1,06월 06일, -
205 589 01 15 00,-,-,공유
205 589 01 31 00,-,-,공유
205 589 01 63 00,2,06월 06일, -
205 589 02 63 00,2,06월 06일, -
205 589 03 63 00,2,06월 06일, -
206 586 00 31 00,-,-,공유
206 586 01 31 00,-,-,공유
206 588 00 32 00,-,-,공유
206 589 00 15 00,1,06월 06일,-
206 589 00 19 00,-,-,공유
206 589 00 21 00,1,06월 06일,-
206 589 01 32 00,1,06월 07일,-
207 589 02 23 00,-,-,공유
208 589 00 15 00,-,-,공유
208 589 00 21 00,-,-,공유
208 589 00 37 00,-,-,공유
208 589 00 77 00,-,-,공유
208 589 01 21 00,-,-,공유
210 589 00 07 00,1,06월 07일,
210 589 00 71 00,1,06월 07일, -
210 589 00 91 00,1,06월 07일, -
210 589 01 07 00,1,06월 07일,
210 589 01 14 00,1,06월 07일, -
210 589 01 16 00,1,07월 02일, -
210 589 01 43 00,1,07월 02일,공유
210 589 03 43 00,1,07월 02일, -
210 589 03 63 00,1,07월 02일, -
210 589 04 63 00,1,07월 02일, -
210 589 05 15 00,1,07월 02일, -
210 589 11 63 00,1,07월 08일,
211 589 00 03 00,1,07월 02일, -
211 589 00 09 00,2,07월 02일, -
211 589 00 15 00,1,07월 03일,공유
211 589 00 31 00,1,07월 03일, -
211 589 00 43 00,1,07월 03일, -
211 589 00 61 00,-,-,공유
211 589 00 63 00,2,07월 03일, -
211 589 01 33 00,1,07월 03일,공유
211 589 01 63 00,1,07월 03일,
211 589 02 21 00,1,07월 04일, -
211 589 02 34 00,1,07월 04일,공유
211 589 03 21 00,1,07월 04일,
211 589 03 63 00,1,07월 04일, -
211 589 04 15 00,1,07월 04일,공유
211 589 04 21 02,1,07월 05일, -
211 589 06 23 00,2,07월 05일, -
211 589 13 63 00,1,07월 05일,
212 589 00 43 00 ,1,07월 05일, -
212 589 00 43 99,1,07월 05일, -
212 589 00 63 00,1,07월 05일, -
212 589 00 90 00,1,07월 06일, -
212 589 00 91 00,-,-,공유
212 589 01 31 00,-,-,공유
212 589 01 63 00,1,07월 08일,공유
212 589 04 63 00,1,07월 06일, -
213 589 00 90 00,1,07월 06일,
213 589 01 63 00,-,-,공유
215 589 01 63 00 ,1,07월 06일, -
217 589 00 07 00,-,-,공유
217 589 00 31 00,-,-,공유
217 589 00 62 00,-,-,공유
220 589 00 07 00,1,07월 06일,
220 589 00 33 00,1,07월 06일,
220 589 00 61 00,1,07월 06일, -
220 589 01 09 00,1,07월 07일,공유
220 589 01 43 00,1,07월 07일, -
220 589 01 99 41 ,1,07월 07일, -
220 589 01 99 42,1,07월 07일,
220 589 01 99 50,1,01월 06일, -
220 589 03 43 00,1,07월 07일,
220 589 04 43 00,1,07월 07일, -
220 589 04 99 00,1,01월 06일, -
220 589 04 99 12,1,01월 06일, -
220 589 04 99 13,1,01월 06일, -
220 589 04 99 14,1,01월 06일, -
220 589 04 99 15,1,01월 06일, -
220 589 04 99 16,1,01월 06일, -
220 589 04 99 17,1,01월 06일, -
220 589 04 99 18,1,01월 06일, -
220 589 04 99 19,1,01월 06일, -
220 589 04 99 31,1,01월 06일, -
220 589 04 99 32,1,01월 06일, -
220 589 04 99 33,1,01월 06일, -
220 589 04 99 34,1,01월 06일, -
220 589 04 99 35,1,01월 06일, -
220 589 04 99 36,1,01월 06일, -
220 589 04 99 37,1,01월 06일, -
220 589 04 99 38,1,01월 06일, -
220 589 05 99 00,2,08월 08일, -
220 589 06 43 00,1,08월 08일, -
221 589 00 31 00,1,08월 08일, -
221 589 00 33 00,1,08월 08일, -
221 589 00 33 03,1,08월 08일, -
221 589 00 39 00,1,08월 08일, -
221 589 00 62 00,1,08월 03일, -
221 589 00 91 00,1,08월 03일,공유
221 589 01 31 00 ,1,08월 03일,공유
221 589 01 33 00,1,08월 04일, -
221 589 01 62 00,1,08월 04일, -
221 589 02 33 00,1,08월 04일, -
221 589 03 09 00,1,08월 04일, -
221 589 03 33 00,1,08월 04일, -
221 589 05 33 00,1,08월 04일, -
221 589 05 63 00,1,08월 04일, -
222 589 00 09 00,1,08월 04일, -
222 589 00 23 00,1,08월 05일,-
222 589 00 31 00,1,08월 05일, -
222 589 00 62 00,-,-,공유
222 589 00 63 00,-,-,공유
222 589 01 31 00,-,-,공유
222 589 01 63 00,-,-,공유
222 589 01 91 00,-,-,공유
222 589 02 43 00,-,-,공유
222 589 02 63 00,-,-,공유
222 589 03 43 00,1,08월 05일, -
222 589 03 63 00,-,-,공유
222 589 04 43 00,-,-,공유
222 589 04 63 00,-,-,공유
222 589 05 63 00,-,-,공유
223 586 00 63 00,1,08월 08일,-
223 589 00 15 00,1,1,-
223 589 00 31 00,-,-,공유
223 589 01 31 00,1,08월 05일,-
223 589 01 63 00,1,08월 01일,공유
230 589 00 33 00,1,08월 06일, -
230 589 00 40 00,1,08월 06일, -
230 589 00 43 00,1,08월 06일,
230 589 01 33 00,-,-, -
230 589 01 90 00,1,08월 06일, -
230 589 02 63 00,1,08월 06일,공유
230 589 06 63 00,-,-,공유
230 589 10 63 00,1,08월 07일,
230 589 11 63 00,1,08월 07일, -
231 589 00 21 00,-,-,공유
231 589 00 43 00,-,-,공유
231 589 02 23 00,-,-,공유
231 589 02 63 00,-,-,공유
231 589 03 23 00,-,-,공유
232 588 00 31 00,-,-,공유
232 589 00 19 00,-,-,공유
240 589 00 22 00,1,08월 07일,
240 589 00 32 00,1,벽,공유
240 589 00 61 00,1,벽,공유
240 589 00 61 10,1,벽,공유
240 589 00 91 00,1,08월 07일, -
240 589 01 31 00,1,벽, -
240 589 02 31 00,-,-,공유
240 589 04 33 00,1,08월 07일,공유
240 589 05 33 00,-,-,공유
242 589 00 63 00,1,02월 15일,-
243 588 00 32 00,1,03월 15일,-
243 589 00 91 00,1,03월 15일,
243 589 02 43 00,1,03월 15일,-
246 589 00 15 00,1,09월 02일, -
246 589 00 33 00,1,09월 02일, -
246 589 00 40 00,2,09월 02일, -
246 589 00 43 00,1,09월 02일, -
246 589 00 62 00,-,-,공유
246 589 00 63 00,1,09월 02일, -
246 589 01 33 00,1,09월 03일, -
246 589 01 63 00,1,09월 03일, -
246 589 02 43 00,-,-,공유
253 589 00 15 00,1,03월 15일,-
254 586 00 43 00,1,09월 03일,-
254 588 00 32 00,-,-,공유
254 589 00 31 00,-,-,공유
254 589 01 33 00,1,09월 03일,-
256 589 00 23 00,1,09월 03일,-
256 589 00 63 00,1,09월 04일,-
256 589 01 31 00,1,09월 04일,-
266 589 01 63 00,1,09월 08일, -
256 589 01 91 00,1,09월 04일,"일부
공유"
256 589 02 31 00,1,09월 04일,-
